No;Kode;Kab/Kota;Tahun;Latitude;Longitude;Y;X1;X2;X3;X4;X5
1;1;KABUPATEN BOGOR;2022;-6.479679;106.824965;7.73;10.64;10860;8.34;2589167;63.75
2;2;KABUPATEN SUKABUMI;2022;-6.915727;106.932576;7.34;7.77;9210;7.11;1211763;69.11
3;3;KABUPATEN CIANJUR;2022;-6.822558;107.139542;10.55;8.41;8244;7.2;1119786;69.98
4;4;KABUPATEN BANDUNG;2022;-7.012851;107.528627;6.8;6.98;10588;9.08;1682510;63.64
5;5;KABUPATEN GARUT;2022;-7.202988;107.885592;10.42;7.6;8227;7.83;1229218;68.84
6;6;KABUPATEN TASIKMALAYA;2022;-7.361212;108.112488;10.73;4.17;8177;7.73;901466;67.83
7;7;KABUPATEN CIAMIS;2022;-7.325788;108.3514;7.72;3.75;9428;8;639600;68.47
8;8;KABUPATEN KUNINGAN;2022;-6.976233;108.482982;12.76;9.81;9620;7.88;478750;61.8
9;9;KABUPATEN CIREBON;2022;-6.764507;108.478858;12.01;8.11;10791;7.4;1020411;65.53
10;10;KABUPATEN MAJALENGKA;2022;-6.836531;108.227876;11.94;4.16;9950;7.49;617320;66.21
11;11;KABUPATEN SUMEDANG;2022;-6.861126;107.920102;10.14;7.72;10776;8.72;562416;64.63
12;12;KABUPATEN INDRAMAYU;2022;-6.327234;108.322903;12.77;6.49;10166;6.83;890992;69.08
13;13;KABUPATEN SUBANG;2022;-6.571549;107.762495;9.75;7.77;11294;7.2;800701;68.87
14;14;KABUPATEN PURWAKARTA;2022;-6.551701;107.446541;8.7;8.75;12193;8.11;430788;65.21
15;15;KABUPATEN KARAWANG;2022;-6.301721;107.30529;8.44;9.87;11927;7.96;1077939;65.51
16;16;KABUPATEN BEKASI;2022;-6.364614;107.172509;5.01;10.31;11757;9.53;1799668;65.41
17;17;KABUPATEN BANDUNG BARAT;2022;-6.840651;107.512302;10.82;9.63;9044;8.22;740639;64.37
18;18;KABUPATEN PANGANDARAN;2022;-7.701397;108.495155;9.32;1.56;9389;8.03;256684;79.92
19;19;KOTA BOGOR;2022;-6.594946;106.794913;7.1;10.78;12058;10.63;496570;64.21
20;20;KOTA SUKABUMI;2022;-6.918366;106.931496;8.02;8.83;11229;10.14;145522;62.48
21;21;KOTA BANDUNG;2022;-6.910786;107.609757;4.25;9.55;17639;11;1298537;69.42
22;22;KOTA CIREBON;2022;-6.707076;108.557818;9.82;8.42;12087;10.33;149860;65.42
23;23;KOTA BEKASI;2022;-6.236221;106.994293;4.43;8.81;16239;11.44;1452223;65.33
